Field    | B3_res | B3_sens | B6_res | B6_sens
         | arcsec | mJy     | arcsec | mJy
W51-E    | 0.37   | 0.03    | 0.37   | 0.1
W51-IRS2 | 0.37   | 0.03    | 0.37   | 0.1
W43-MM1  | 0.37   | 0.03    | 0.37   | 0.1
W43-MM2  | 0.37   | 0.03    | 0.37   | 0.1
W43-MM3  | 0.37   | 0.03    | 0.37   | 0.1
G337.92  | 0.51   | 0.06    | 0.51   | 0.2
G338.93  | 0.51   | 0.06    | 0.51   | 0.2
G328.25  | 0.67   | 0.09    | 0.67   | 0.3
G327.29  | 0.67   | 0.09    | 0.67   | 0.3
G333.60  | 0.51   | 0.06    | 0.51   | 0.2
G008.67  | 0.67   | 0.09    | 0.67   | 0.3
G353.41  | 0.95   | 0.18    | 0.95   | 0.6
G010.62  | 0.37   | 0.03    | 0.37   | 0.1
G012.80  | 0.95   | 0.18    | 0.95   | 0.6
G351.77  | 0.95   | 0.18    | 0.95   | 0.6
